"","date","location","satellite_grid_lat","satellite_grid_long","vcd_no2"
"1","2019 01 01","Los Angeles","34.125","-118.125","8714387711852544"
"2","2019 01 01","Delhi","28.625","77.125","12418408310112256"
"3","2019 01 01","Taipei","25.125","121.625","8295776576864256"
"4","2019 01 02","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"5","2019 01 02","Delhi","28.625","77.125","-1.26765060022823e+30"
"6","2019 01 02","Taipei","25.125","121.625","6327467153293312"
"7","2019 01 03","Los Angeles","34.125","-118.125","15539308714786816"
"8","2019 01 03","Delhi","28.625","77.125","8677774726266880"
"9","2019 01 03","Taipei","25.125","121.625","-1.26765060022823e+30"
"10","2019 01 04","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"11","2019 01 04","Delhi","28.625","77.125","-1.26765060022823e+30"
"12","2019 01 04","Taipei","25.125","121.625","19986445628342272"
"13","2019 01 05","Los Angeles","34.125","-118.125","4280230457901056"
"14","2019 01 05","Delhi","28.625","77.125","7544977638817792"
"15","2019 01 05","Taipei","25.125","121.625","-1.26765060022823e+30"
"16","2019 01 06","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"17","2019 01 06","Delhi","28.625","77.125","9391981079822336"
"18","2019 01 06","Taipei","25.125","121.625","9744925386080256"
"19","2019 01 07","Los Angeles","34.125","-118.125","3248502272425984"
"20","2019 01 07","Delhi","28.625","77.125","-1.26765060022823e+30"
"21","2019 01 07","Taipei","25.125","121.625","-1.26765060022823e+30"
"22","2019 01 08","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"23","2019 01 08","Delhi","28.625","77.125","12938421475475456"
"24","2019 01 08","Taipei","25.125","121.625","5296859148976128"
"25","2019 01 09","Los Angeles","34.125","-118.125","10007489621786624"
"26","2019 01 09","Delhi","28.625","77.125","-1.26765060022823e+30"
"27","2019 01 09","Taipei","25.125","121.625","-1.26765060022823e+30"
"28","2019 01 10","Los Angeles","34.125","-118.125","23109597669621760"
"29","2019 01 10","Delhi","28.625","77.125","11266093280657408"
"30","2019 01 10","Taipei","25.125","121.625","8165034014277632"
"31","2019 01 11","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"32","2019 01 11","Delhi","28.625","77.125","-1.26765060022823e+30"
"33","2019 01 11","Taipei","25.125","121.625","20506920502689792"
"34","2019 01 12","Los Angeles","34.125","-118.125","14475451758018560"
"35","2019 01 12","Delhi","28.625","77.125","16198861072629760"
"36","2019 01 12","Taipei","25.125","121.625","-1.26765060022823e+30"
"37","2019 01 13","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"38","2019 01 13","Delhi","28.625","77.125","-1.26765060022823e+30"
"39","2019 01 13","Taipei","25.125","121.625","4036455630372864"
"40","2019 01 14","Los Angeles","34.125","-118.125","6517360542351360"
"41","2019 01 14","Delhi","28.625","77.125","10739021336543232"
"42","2019 01 14","Taipei","25.125","121.625","-1.26765060022823e+30"
"43","2019 01 15","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"44","2019 01 15","Delhi","28.625","77.125","10087364202332160"
"45","2019 01 15","Taipei","25.125","121.625","12422707572375552"
"46","2019 01 16","Los Angeles","34.125","-118.125","6449332555350016"
"47","2019 01 16","Delhi","28.625","77.125","-1.26765060022823e+30"
"48","2019 01 16","Taipei","25.125","121.625","-1.26765060022823e+30"
"49","2019 01 17","Los Angeles","34.125","-118.125","13095776192299008"
"50","2019 01 17","Delhi","28.625","77.125","13948537653952512"
"51","2019 01 17","Taipei","25.125","121.625","6640407060414464"
"52","2019 01 18","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"53","2019 01 18","Delhi","28.625","77.125","-1.26765060022823e+30"
"54","2019 01 18","Taipei","25.125","121.625","5845869249167360"
"55","2019 01 19","Los Angeles","34.125","-118.125","7290965219868672"
"56","2019 01 19","Delhi","28.625","77.125","17272725303197696"
"57","2019 01 19","Taipei","25.125","121.625","-1.26765060022823e+30"
"58","2019 01 20","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"59","2019 01 20","Delhi","28.625","77.125","-1.26765060022823e+30"
"60","2019 01 20","Taipei","25.125","121.625","12561875250184192"
"61","2019 01 21","Los Angeles","34.125","-118.125","3917117816569856"
"62","2019 01 21","Delhi","28.625","77.125","14120079721496576"
"63","2019 01 21","Taipei","25.125","121.625","-1.26765060022823e+30"
"64","2019 01 22","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"65","2019 01 22","Delhi","28.625","77.125","13490554553761792"
"66","2019 01 22","Taipei","25.125","121.625","7543481916456960"
"67","2019 01 23","Los Angeles","34.125","-118.125","11541171977322496"
"68","2019 01 23","Delhi","28.625","77.125","-1.26765060022823e+30"
"69","2019 01 23","Taipei","25.125","121.625","-1.26765060022823e+30"
"70","2019 01 24","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"71","2019 01 24","Delhi","28.625","77.125","17228302456455168"
"72","2019 01 24","Taipei","25.125","121.625","8673910866313216"
"73","2019 01 25","Los Angeles","34.125","-118.125","7121322601611264"
"74","2019 01 25","Delhi","28.625","77.125","-1.26765060022823e+30"
"75","2019 01 25","Taipei","25.125","121.625","-1.26765060022823e+30"
"76","2019 01 26","Los Angeles","34.125","-118.125","15349998367539200"
"77","2019 01 26","Delhi","28.625","77.125","8135840047824896"
"78","2019 01 26","Taipei","25.125","121.625","6786759681638400"
"79","2019 01 27","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"80","2019 01 27","Delhi","28.625","77.125","-1.26765060022823e+30"
"81","2019 01 27","Taipei","25.125","121.625","5319675625865216"
"82","2019 01 28","Los Angeles","34.125","-118.125","19996749254885376"
"83","2019 01 28","Delhi","28.625","77.125","-1.26765060022823e+30"
"84","2019 01 28","Taipei","25.125","121.625","-1.26765060022823e+30"
"85","2019 01 29","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"86","2019 01 29","Delhi","28.625","77.125","-1.26765060022823e+30"
"87","2019 01 29","Taipei","25.125","121.625","4521425352261632"
"88","2019 01 30","Los Angeles","34.125","-118.125","22520246552231936"
"89","2019 01 30","Delhi","28.625","77.125","18929890115977216"
"90","2019 01 30","Taipei","25.125","121.625","-1.26765060022823e+30"
"91","2019 01 31","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"92","2019 01 31","Delhi","28.625","77.125","12536789419950080"
"93","2019 01 31","Taipei","25.125","121.625","18205496636866560"
"94","2019 02 01","Los Angeles","34.125","-118.125","9463373099958272"
"95","2019 02 01","Delhi","28.625","77.125","-1.26765060022823e+30"
"96","2019 02 01","Taipei","25.125","121.625","-1.26765060022823e+30"
"97","2019 02 02","Los Angeles","34.125","-118.125","3639280677158912"
"98","2019 02 02","Delhi","28.625","77.125","6698821836865536"
"99","2019 02 02","Taipei","25.125","121.625","5760487446806528"
"100","2019 02 03","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"101","2019 02 03","Delhi","28.625","77.125","-1.26765060022823e+30"
"102","2019 02 03","Taipei","25.125","121.625","10655241556983808"
"103","2019 02 04","Los Angeles","34.125","-118.125","5610174328864768"
"104","2019 02 04","Delhi","28.625","77.125","13841550018609152"
"105","2019 02 04","Taipei","25.125","121.625","-1.26765060022823e+30"
"106","2019 02 05","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"107","2019 02 05","Delhi","28.625","77.125","-1.26765060022823e+30"
"108","2019 02 05","Taipei","25.125","121.625","4968600704122880"
"109","2019 02 06","Los Angeles","34.125","-118.125","8262253283377152"
"110","2019 02 06","Delhi","28.625","77.125","8862556030500864"
"111","2019 02 06","Taipei","25.125","121.625","-1.26765060022823e+30"
"112","2019 02 07","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"113","2019 02 07","Delhi","28.625","77.125","7405029887574016"
"114","2019 02 07","Taipei","25.125","121.625","6036501372600320"
"115","2019 02 08","Los Angeles","34.125","-118.125","12434673351262208"
"116","2019 02 08","Delhi","28.625","77.125","-1.26765060022823e+30"
"117","2019 02 08","Taipei","25.125","121.625","-1.26765060022823e+30"
"118","2019 02 09","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"119","2019 02 09","Delhi","28.625","77.125","9819415151378432"
"120","2019 02 09","Taipei","25.125","121.625","5350070572548096"
"121","2019 02 10","Los Angeles","34.125","-118.125","8888012838535168"
"122","2019 02 10","Delhi","28.625","77.125","-1.26765060022823e+30"
"123","2019 02 10","Taipei","25.125","121.625","-1.26765060022823e+30"
"124","2019 02 11","Los Angeles","34.125","-118.125","13045830017613824"
"125","2019 02 11","Delhi","28.625","77.125","25312905155051520"
"126","2019 02 11","Taipei","25.125","121.625","5062965967454208"
"127","2019 02 12","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"128","2019 02 12","Delhi","28.625","77.125","-1.26765060022823e+30"
"129","2019 02 12","Taipei","25.125","121.625","6160692499447808"
"130","2019 02 13","Los Angeles","34.125","-118.125","5051664297885696"
"131","2019 02 13","Delhi","28.625","77.125","16562183093616640"
"132","2019 02 13","Taipei","25.125","121.625","-1.26765060022823e+30"
"133","2019 02 14","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"134","2019 02 14","Delhi","28.625","77.125","-1.26765060022823e+30"
"135","2019 02 14","Taipei","25.125","121.625","4513572004560896"
"136","2019 02 15","Los Angeles","34.125","-118.125","8299336031010816"
"137","2019 02 15","Delhi","28.625","77.125","15494958882488320"
"138","2019 02 15","Taipei","25.125","121.625","-1.26765060022823e+30"
"139","2019 02 16","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"140","2019 02 16","Delhi","28.625","77.125","5087897715736576"
"141","2019 02 16","Taipei","25.125","121.625","4236384210518016"
"142","2019 02 17","Los Angeles","34.125","-118.125","4809403983200256"
"143","2019 02 17","Delhi","28.625","77.125","-1.26765060022823e+30"
"144","2019 02 17","Taipei","25.125","121.625","-1.26765060022823e+30"
"145","2019 02 18","Los Angeles","34.125","-118.125","12149855816253440"
"146","2019 02 18","Delhi","28.625","77.125","6703329405042688"
"147","2019 02 18","Taipei","25.125","121.625","7552924402057216"
"148","2019 02 19","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"149","2019 02 19","Delhi","28.625","77.125","-1.26765060022823e+30"
"150","2019 02 19","Taipei","25.125","121.625","14560837855346688"
"151","2019 02 20","Los Angeles","34.125","-118.125","10088577530593280"
"152","2019 02 20","Delhi","28.625","77.125","-1204095692046336"
"153","2019 02 20","Taipei","25.125","121.625","-1.26765060022823e+30"
"154","2019 02 21","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"155","2019 02 21","Delhi","28.625","77.125","-1.26765060022823e+30"
"156","2019 02 21","Taipei","25.125","121.625","5414772644249600"
"157","2019 02 22","Los Angeles","34.125","-118.125","12660228927520768"
"158","2019 02 22","Delhi","28.625","77.125","4873485968998400"
"159","2019 02 22","Taipei","25.125","121.625","-1.26765060022823e+30"
"160","2019 02 23","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"161","2019 02 23","Delhi","28.625","77.125","6311205870239744"
"162","2019 02 23","Taipei","25.125","121.625","5049632241483776"
"163","2019 02 24","Los Angeles","34.125","-118.125","7558884206051328"
"164","2019 02 24","Delhi","28.625","77.125","-1.26765060022823e+30"
"165","2019 02 24","Taipei","25.125","121.625","-1.26765060022823e+30"
"166","2019 02 25","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"167","2019 02 25","Delhi","28.625","77.125","21659580203270144"
"168","2019 02 25","Taipei","25.125","121.625","6174964138901504"
"169","2019 02 26","Los Angeles","34.125","-118.125","13381061878743040"
"170","2019 02 26","Delhi","28.625","77.125","-1.26765060022823e+30"
"171","2019 02 26","Taipei","25.125","121.625","-1.26765060022823e+30"
"172","2019 02 27","Los Angeles","34.125","-118.125","14156303475671040"
"173","2019 02 27","Delhi","28.625","77.125","8439897425707008"
"174","2019 02 27","Taipei","25.125","121.625","8254357522874368"
"175","2019 02 28","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"176","2019 02 28","Delhi","28.625","77.125","-1.26765060022823e+30"
"177","2019 02 28","Taipei","25.125","121.625","6633921659797504"
"178","2019 03 01","Los Angeles","34.125","-118.125","13271309358202880"
"179","2019 03 01","Delhi","28.625","77.125","-1.26765060022823e+30"
"180","2019 03 01","Taipei","25.125","121.625","-1.26765060022823e+30"
"181","2019 03 02","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"182","2019 03 02","Delhi","28.625","77.125","-1.26765060022823e+30"
"183","2019 03 02","Taipei","25.125","121.625","8756570196279296"
"184","2019 03 03","Los Angeles","34.125","-118.125","4525143720198144"
"185","2019 03 03","Delhi","28.625","77.125","6229139245760512"
"186","2019 03 03","Taipei","25.125","121.625","-1.26765060022823e+30"
"187","2019 03 04","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"188","2019 03 04","Delhi","28.625","77.125","7236887823515648"
"189","2019 03 04","Taipei","25.125","121.625","4085554085888000"
"190","2019 03 05","Los Angeles","34.125","-118.125","7562369572012032"
"191","2019 03 05","Delhi","28.625","77.125","-1.26765060022823e+30"
"192","2019 03 05","Taipei","25.125","121.625","-1.26765060022823e+30"
"193","2019 03 06","Los Angeles","34.125","-118.125","3812820172931072"
"194","2019 03 06","Delhi","28.625","77.125","6808980768686080"
"195","2019 03 06","Taipei","25.125","121.625","8908035976069120"
"196","2019 03 07","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"197","2019 03 07","Delhi","28.625","77.125","-1.26765060022823e+30"
"198","2019 03 07","Taipei","25.125","121.625","8186068079738880"
"199","2019 03 08","Los Angeles","34.125","-118.125","7886641750343680"
"200","2019 03 08","Delhi","28.625","77.125","6202003105513472"
"201","2019 03 08","Taipei","25.125","121.625","-1.26765060022823e+30"
"202","2019 03 09","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"203","2019 03 09","Delhi","28.625","77.125","-1.26765060022823e+30"
"204","2019 03 09","Taipei","25.125","121.625","7933660904816640"
"205","2019 03 10","Los Angeles","34.125","-118.125","8606578664013824"
"206","2019 03 10","Delhi","28.625","77.125","6061138915622912"
"207","2019 03 10","Taipei","25.125","121.625","-1.26765060022823e+30"
"208","2019 03 11","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"209","2019 03 11","Delhi","28.625","77.125","6339344885350400"
"210","2019 03 11","Taipei","25.125","121.625","7730636190121984"
"211","2019 03 12","Los Angeles","34.125","-118.125","8278509734592512"
"212","2019 03 12","Delhi","28.625","77.125","-1.26765060022823e+30"
"213","2019 03 12","Taipei","25.125","121.625","-1.26765060022823e+30"
"214","2019 03 13","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"215","2019 03 13","Delhi","28.625","77.125","2804486942752768"
"216","2019 03 13","Taipei","25.125","121.625","9150326892396544"
"217","2019 03 14","Los Angeles","34.125","-118.125","6816486760906752"
"218","2019 03 14","Delhi","28.625","77.125","-1.26765060022823e+30"
"219","2019 03 14","Taipei","25.125","121.625","-1.26765060022823e+30"
"220","2019 03 15","Los Angeles","34.125","-118.125","13364279294033920"
"221","2019 03 15","Delhi","28.625","77.125","6742178994847744"
"222","2019 03 15","Taipei","25.125","121.625","7265499285028864"
"223","2019 03 16","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"224","2019 03 16","Delhi","28.625","77.125","-1.26765060022823e+30"
"225","2019 03 16","Taipei","25.125","121.625","5747760921837568"
"226","2019 03 17","Los Angeles","34.125","-118.125","8604889131253760"
"227","2019 03 17","Delhi","28.625","77.125","6658700936740864"
"228","2019 03 17","Taipei","25.125","121.625","-1.26765060022823e+30"
"229","2019 03 18","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"230","2019 03 18","Delhi","28.625","77.125","-1.26765060022823e+30"
"231","2019 03 18","Taipei","25.125","121.625","11071516229763072"
"232","2019 03 19","Los Angeles","34.125","-118.125","11512405360115712"
"233","2019 03 19","Delhi","28.625","77.125","9127597925466112"
"234","2019 03 19","Taipei","25.125","121.625","-1.26765060022823e+30"
"235","2019 03 20","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"236","2019 03 20","Delhi","28.625","77.125","7724428351766528"
"237","2019 03 20","Taipei","25.125","121.625","12140058995851264"
"238","2019 03 21","Los Angeles","34.125","-118.125","10272377434800128"
"239","2019 03 21","Delhi","28.625","77.125","-1.26765060022823e+30"
"240","2019 03 21","Taipei","25.125","121.625","-1.26765060022823e+30"
"241","2019 03 22","Los Angeles","34.125","-118.125","17804253275881472"
"242","2019 03 22","Delhi","28.625","77.125","5199655986003968"
"243","2019 03 22","Taipei","25.125","121.625","6982062582005760"
"244","2019 03 23","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
"245","2019 03 23","Delhi","28.625","77.125","-1.26765060022823e+30"
"246","2019 03 23","Taipei","25.125","121.625","4768031636979712"
"247","2019 03 24","Los Angeles","34.125","-118.125","8252817777098752"
"248","2019 03 24","Delhi","28.625","77.125","4858072941985792"
"249","2019 03 24","Taipei","25.125","121.625","7466061372850176"
"250","2019 03 25","Los Angeles","34.125","-118.125","-1.26765060022823e+30"
